x,y,r
2186, 2358, 1.1286652959662007
2002, 2359, 0.5643326479831003
1594, 2356, 1.3234773729414107
2056, 2354, 0.39904344223381105
574, 2358, 1.739390038779793
2329, 2354, 1.4930838432778397
2041, 2353, 0.5643326479831003
1148, 2353, 0.5643326479831003
779, 2355, 2.8216632399155017
631, 2355, 1.9952172111690554
583, 2354, 0.7980868844676221
2131, 2354, 1.8716796503076578
2045, 2353, 0.5643326479831003
2009, 2351, 0.39904344223381105
2004, 2352, 0.892288262810312
796, 2354, 1.1971303267014333
576, 2356, 1.692997943949301
555, 2355, 1.4387715921116582
552, 2352, 0.5643326479831003
2335, 2351, 0.6911635163761372
2017, 2355, 1.1286652959662007
577, 2351, 0.6911635163761372
2145, 2353, 1.784576525620624
2054, 2349, 0.39904344223381105
